,bin 100-200,bin 200-400,bin 80-150,identifier,overflow,total
0,------,1013.0,------,L1 HT; PU > 0,112965.0,1013.0
0,------,49.0,------,L1 HT_Emu; PU > 0,113944.0,49.0
0,304.0,------,------,L1 JetET_BE; PU > 0,113696.0,304.0
0,96.0,------,------,L1 JetET_BE_Emu; PU > 0,113904.0,96.0
0,32.0,------,------,L1 JetET_HF; PU > 0,113968.0,32.0
0,20.0,------,------,L1 JetET_HF_Emu; PU > 0,113980.0,20.0
0,------,------,735.0,L1 METBE; PU > 0,113265.0,735.0
0,------,------,551.0,L1 METBE_Emu; PU > 0,113449.0,551.0
0,------,------,3188.0,L1 METHF; PU > 0,110812.0,3188.0
0,------,------,2454.0,L1 METHF_Emu; PU > 0,111546.0,2454.0
